Tile,Data,Data,Data,Data,Map,UI,UI,UI,Data,Data,Data,Data,Data,Data,Data,Data
,Level,Upgrade,Weight,Starting,Prefab,Title,ToolTip,ToolTip,Tags,Terrain,PlaceCondition,DraftCondition,Effect,Stockpile,SelfUpgrade,UpgradeByToken
,,,,,,,Title,Description,,,,,,,,
Water,,,,,Water,Water,Water,It's a tile.,Unused,Water,,,,,,
Grass,,,,,Grass,Grass,Grass,It's a tile.,Unused,Grass,,,,,,
Desert,,,,,Desert,Desert,Desert,It's a tile.,Unused,Desert,,,,,,
Forest,,,,,Forest,Forest,Forest,It's a tile.,Forrest,Grass,,,,,,
,,,,,,,,,Unused,,,,,,,
Mountain,,,,,Mountain,Mountain,Mountain,It's a tile.,Unused,Mountain,,,,,,
Houses_I,1,Houses_II,10,6,House,Village,Village,It's a tile.,Building,,IfTerrain:Grass:Desert,,OnPlace:Production:Population:2,Population,Population:25,
-,,,,,,,,,Houses,,IfTag:Unused,,OnPlace:Production:Population:2:IfTerrain:Grass,,,
-,,,,,,,,,Population,,,,OnPlace:Production:Population:2:IfAdjacent:Water,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfTerrain:Grass,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfAdjacent:Water,,,
Houses_II,2,Houses_III,2,,House,Town,Town,It's a tile.,Building,,IfTerrain:Grass:Desert,,OnPlace:Production:Population:25,Population,Population:100,
-,,,,,,,,,Houses,,IfTag:Unused,,OnPlace:Production:Population:10:IfTerrain:Grass,,,
-,,,,,,,,,Population,,,,OnPlace:Production:Population:10:IfAdjacent:Water,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfTerrain:Grass,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfAdjacent:Water,,,
Houses_III,3,,1,,House,City,City,It's a tile.,Building,,IfTerrain:Grass:Desert,,OnPlace:Production:Population:100,Population,,
-,,,,,,,,,Houses,,IfTag:Unused,,OnPlace:Production:Population:25:IfTerrain:Grass,,,
-,,,,,,,,,Population,,,,OnPlace:Production:Population:25:IfAdjacent:Water,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfTerrain:Grass,,,
-,,,,,,,,,,,,,PerTurn:Production:Population:1:IfAdjacent:Water,,,
Fishing_I,1,Fishing_II,4,3,FishingBoats,FishingBoats,FishingBoats,It's a tile.,FishingBoats,,IfTerrain:Water,,Always:MultiplyAdjacent:Houses:2,,,Yes
-,,,,,,,,,Food,,IfTag:Unused,,,,,
Fishing_II,2,Fishing_III,2,,FishingBoats,FishingBoats,FishingBoats,It's a tile.,FishingBoats,,IfTerrain:Water,,Always:MultiplyAdjacent:Houses:3,,,Yes
-,,,,,,,,,Food,,IfTag:Unused,,,,,
Fishing_III,3,,1,,FishingBoats,FishingBoats,FishingBoats,It's a tile.,FishingBoats,,IfTerrain:Water,,Always:MultiplyAdjacent:Houses:4,,,Yes
-,,,,,,,,,Food,,IfTag:Unused,,,,,
Farm_I,1,Farm_II,4,3,Farm,Small Farm,Small Farm,It's a tile.,Building,,IfTerrain:Grass,,Always:MultiplyAdjacent:Houses:2,,,Yes
-,,,,,,,,,Farm,,IfTag:Unused,,,,,
-,,,,,,,,,Food,,,,,,,
Farm_II,2,Farm_III,2,,Farm,Farm,Farm,It's a tile.,Building,,IfTerrain:Grass,,Always:MultiplyAdjacent:Houses:3,,,Yes
-,,,,,,,,,Farm,,IfTag:Unused,,,,,
-,,,,,,,,,Food,,,,,,,
Farm_III,3,,1,,Farm,Large Farm,Large Farm,It's a tile.,Building,,IfTerrain:Grass,,Always:MultiplyAdjacent:Houses:3,,,Yes
-,,,,,,,,,Farm,,IfTag:Unused,,,,,
-,,,,,,,,,Food,,,,,,,
Mill_I,2,Mill_II,3,3,Mill,Mill,Mill,It's a tile.,Building,,IfTerrain:Grass:Desert,,Always:MultiplyAdjacent:Farm:2,,,Yes
-,,,,,,,,,Mill,,IfTag:Unused,,,,,
-,,,,,,,,,Food,,,,,,,
Mill_II,2,,1,,Mill,Mill,Mill,It's a tile.,Building,,IfTerrain:Grass:Desert,,Always:MultiplyAdjacent:Farm:3,,,Yes
-,,,,,,,,,Mill,,IfTag:Unused,,,,,
-,,,,,,,,,Food,,,,,,,
